name,brewery_type,city,address,phone,website_url,longitude,latitude
127 Brewing,micro,Jackson,3090 Shirley Dr,5172581346,,-84.43116792,42.28667212
5 Lakes Brewing Co.,brewpub,Dorr,1638 142nd Ave,6163599555,http://www.5lakesbrewing.com,-85.70445518,42.72497157
51st State Brewing Company,brewpub,Kingsford,115 Harding Ave,9068282167,http://www.51ststatebrewingcompany.com,-88.08819,45.808408
734 Brewing Company,micro,Ypsilanti,15 E Cross St,7346496453,,-83.61103475,42.24586784
Aberrant Ales,brewpub,Howell,219 W Grand River Ave,5175188699,http://www.aberrantales.com,-83.93094539,42.60773722
Abner's Restaurant Inc / Northern Michigan Beer,brewpub,Brohman,7528 N Woodbridge (M37),2316892295,,,
Albion Malleable Brewing Company,brewpub,Albion,420 S Superior St,5173432202,http://www.albionmalleable.com,-84.7532755,42.2423188
Alma Brewing Co,brewpub,Alma,208 E Superior St,9894620208,http://www.almabrewing.com,-84.6588719,43.37888808
American Badass Beer,contract,Detroit,1401 Abbott St Corktown,,http://www.americanbadassbeer.com,,
American Brewers Inc,micro,Kalamazoo,3408 Miller Rd,2692171920,http://www.americanbrewers.us,-85.5378194,42.26671998
American Harvest Brewpub At Schoolcraft College,brewpub,Livonia,18600 Haggerty Rd,7344627659,http://www.schoolcraft.edu,-83.42868497,42.419317
Arbor Brewing Co,brewpub,Ann Arbor,114 E Washington St,7342131393,http://www.arborbrewing.com,-83.74822471,42.28041029
Arbor Brewing Co. Microbrewery,micro,Ypsilanti,720 Norris St,7344802739,,-83.6099915,42.250158
Arcadia Brewing Co,micro,Kalamazoo,701 E Michigan Ave,2692760458,http://www.arcadiaales.com,-85.5715368,42.2950789
Arclight Brewing Company,micro,Watervliet,544 N Main St,2693320718,http://www.arclightbrewing.com,-86.25939238,42.19104832
Arvon Brewing Co.,micro,Grandville,3057 Broadway Ave SW,6162240086,http://www.arvonbrewingco.com,-85.7720434,42.909272
Ascension Brewing Company,brewpub,Novi,42000 Grand River Ave,2483082093,http://www.ascension.beer,-83.4609783,42.4783271
Atwater Brewing Co,regional,Detroit,237 Joseph Campau St,3138779205,http://www.atwaterbeer.com,-83.072904,42.4190883
Atwater Grand Rapids,brewpub,Grand Rapids,201 Michigan St NW,6166493020,,-85.672454,42.970463
Atwater In the Park Biergarten and Tap House,brewpub,Grosse Pointe Park,1175 Lakepointe St,3133445104,http://www.atwaterbeer.com,-82.9399103,42.3814617
Austin Brothers' Beer Company,brewpub,Alpena,821 W Miller St,9893402300,http://www.austinbrosbeerco.com,-83.43583578,45.07296998
Axle Brewing Company,micro,Ferndale,567 Livernois St,2486137002,http://www.axlebrewing.com,-83.1428144,42.4508021
B.O.B's Brewery,brewpub,Grand Rapids,20 Monroe Ave NW,6163562000,http://thebobsbrewery.thebob.com,-85.67248446,42.9638257
BAD Brewing Co,micro,Mason,440 S Jefferson St,5176767664,http://www.badbrewing.com,-84.4433383,42.5786176
Baffin Brewing Co,micro,Saint Clair Shores,25113 Jefferson Ave,5862187990,http://baffinbrewing.com,-82.888964,42.472227
Bam Entertainment Center,brewpub,Holland,478 E 16th St,6163927086,http://www.gobamgo.com,-86.08555156,42.7812873
Barn Brewers,brewpub,Lawton,114 N Main St,2692990482,http://www.barnbrewersbrewery.com,-85.84966443,42.16834814
Barrel and Beam,micro,Marquette,260 Northwoods RD,9062732559,http://www.barrelandbeam.com,-87.4722168,46.54578
Bastone Brewery,brewpub,Royal Oak,419 S Main St,2485446250,http://www.bastone.net/br/bastone-brewery,-83.1440578,42.4836283
Batch Brewing Co,brewpub,Detroit,1400 Porter St,3133388008,http://www.BatchBrewingCompany.com,-83.088689,42.3184806
Beards Brewery,brewpub,Petoskey,215 E Lake St,2317532221,http://www.beardsbrewery.com,-84.95425838,45.37533801
Beards Brewery Production Facility,micro,Charlevoix,6328 Ferry Ave,,,-85.249116,45.304738
Beer Church Brewing Company,contract,New Buffalo,24 S Whittaker St,2192413876,http://www.beerchurchbrewing.com,-86.74311848,41.79322148
Belding Brewing Company,planning,Belding,,6163086285,,,
"Bell's Brewery, Inc",regional,Galesburg,8938 Krum Ave,2693822338,http://www.bellsbeer.com,,
Bell's Eccentric Cafe,brewpub,Kalamazoo,355 E Kalamazoo Ave,2693822332,http://www.bellsbeer.com,-85.57887292,42.29491555
Bella Casa Di Vino,brewpub,Saint Clair,201 N Riverside Ave,8103261212,http://www.suescoffeehouse.com,-82.48591,42.823895
Bier Distillery,micro,Comstock Park,5295 West River Dr NE Ste 100,6168889746,http://bierdistillery.com,,
Biercamp,brewpub,Ann Arbor,1643 S State St,7349952437,http://www.bier-camp.com,-83.740111,42.2586786
Biere De Mac Brew Works,micro,Mackinaw City,14277 N Mackinaw Hwy,2314277007,http://www.bieredemac.com,,
Big Boiler Brewing,brewpub,Lowell,318 E Main St,6169873155,http://bigboilerbrewing.com,-85.33655351,42.93462931
Big Cat Brewing Company,brewpub,Cedar,8699 S Good Harbor Trl,2312282282,http://www.bigcatbrewingco.com,-85.79311511,44.85319287
Big Hart Brewing Company,brewpub,Hart,4086 W Polk Rd,2313018226,http://www.bighartbrewing.com,,
Big Lake Brewing,micro,Holland,13 W 7th St,6167968888,http://www.biglakebrewing.com,-86.10791587,42.79149405
Big Lake Brewing Production Facility,micro,Holland,166 E 19th St,,,-86.09988824,42.78029471
Big Rock Chop House & Brewery,contract,Birmingham,245 S Eton St,2486477774,http://www.bigrockchophouse.com,-83.19603911,42.54693868
Bilbo's Pizza and Brewery,brewpub,Kalamazoo,3307 Stadium Dr,2693825544,http://www.bilbospizza.com,-85.63122494,42.27160225
Bitter Old Fecker Rustic Ales,micro,Chelsea,12855 E Old US Hwy 12,7344445201,,-83.98452281,42.2995379
Black Fire Winery,micro,Tecumseh,1261 E Munger Rd,5174249232,,,
Black Lotus Brewing Co,brewpub,Clawson,1 E 14 Mile Rd,2485771878,http://WWW.BLACKLOTUSBEER.COM,-83.141428,42.533563
Blackrocks Brewery,micro,Marquette,424 N 3rd St,9062731333,http://www.blackrocksbrewery.com,-87.39462133,46.5464589
Blackrocks Brewery - Production Facility,micro,Marquette,950 W Washington St,9062731333,http://www.blackrocksbrewery.com,-87.41368794,46.54594024
Block Brewing Company,brewpub,Howell,1140 S Michigan Ave,,http://www.blockbrewingcompany.com,-83.931806,42.603858
Blue Cow Cafe/Big Rapids Brewing Co,brewpub,Big Rapids,119 N Michigan Ave,2317960100,http://www.bluecowcafe.com,-85.48211793,43.69871439
Blue Pike Cantina,brewpub,Marine City,152 S Water St,8107654200,,-82.49085669,42.71829576
Blue Tractor Brewing Co,brewpub,Ann Arbor,207 E Washington St,7342224095,,-83.74704578,42.28052759
Boatyard Brewing Co,micro,Kalamazoo,432 E Paterson St,2692260300,http://www.boatyardbrewing.com,-85.578439,42.303203
Brass Ring Brewery,brewpub,Grand Rapids,2404 Eastern Ave SE,6164601587,http://www.brassringbrewing.com,-85.64741488,42.91987422
Bravo! Restaurant & Cafe,brewpub,Portage,5402 Portage Rd,2693447700,http://www.bravokalamazoo.com,-85.56023131,42.23892918
Greenbush Annex,micro,Sawyer,5870 Sawyer Rd,,,-86.59404729,41.88540971
Brew Detroit,micro,Detroit,1401 Abbott St,3139747366,http://www.brewdetroit.com,-83.0619769,42.32770289
Brew Works of Fremont,brewpub,Fremont,5909 S Warner Ave,2313355105,http://www.thecommonsoffremont.com,-85.94003325,43.44380716
Brewery 4 Two 4,micro,Holland,321 Douglas Ave Ste 120,6163777773,http://brewery424.com,,
Brewery Becker,brewpub,Brighton,500 W Main St,8108440225,http://www.brauereibecker.us,-83.785481,42.529522
Brewery Faisan,planning,Detroit,,5867032030,http://www.breweryfaisan.com,,
Brewery Ferment,micro,Traverse City,511 S Union St,2317358113,http://www.breweryferment.com,-85.62353552,44.75888715
Brewery Terra Firma,micro,Traverse City,2959 Hartman Rd,2319291600,http://www.breweryterrafirma.com,-85.63510581,44.71509875
Brewery Vivant,brewpub,Grand Rapids,925 Cherry St SE,6167191604,http://www.breweryvivant.com,-85.64683809,42.95961591
BrickHaven Brewing Company,micro,Grand Ledge,200 E Jefferson St,5179251319,,-84.745273,42.752301
Brickside Brewery,micro,Copper Harbor,64 Gratiot Street,9062894772,http://www.bricksidebrewery.com,,
Brite Eyes Brewing Co,brewpub,Kalamazoo,1156 S Burdick St,2692205001,,-85.582846,42.27977268
Broken Rock Brewery,brewpub,Port Austin,282 Grindstone Rd Bird Creek Farms,2487033114,http://birdcreekfarms.com,,
Brooks Brewing,micro,Shelby Charter Township,52033 Van Dyke,5868844741,http://www.bbrewing.com,,
Brown Iron Brewhouse,brewpub,Washington,57695 Van Dyke Rd,586697330,http://www.browniron.com,-83.03578521,42.71929931
Burt Lake Brewery / Seasons of the North Winery,micro,Alanson,9090 W M-68 Hwy,2315481280,http://www.burtlakebrewery.com,,
"Canton Brew Works, LLC",micro,Canton,8521 N Lilley Rd,7349277081,http://www.cantonbrewworks.com,-83.4586331,42.3224786
Castle Brewing Co,brewpub,Greenville,1310 W Washington,6167126226,http://www.castlebrewingco.com,,
Cedar Springs Brewing Company,brewpub,Cedar Springs,95 N Main # 34,616696,http://www.CSBrew.com,,
Cellar Brewing Co,brewpub,Sparta,133 E Division St,6168830777,http://www.cellarbrewingco.com,-85.70639839,43.16082496
"Cellarmen's Meadery, Microbrewery and Cidery",micro,Hazel Park,24310 John R Rd,5864134206,http://www.cellarmens.com,,
Cheboygan Brewing Co,micro,Cheboygan,101 N Main St,2312683277,http://www.cheboyganbrewing.com,-84.4743633,45.647403
Chelsea Alehouse Brewery,brewpub,Chelsea,420 N Main St Ste 100,7344335500,http://www.chelseaalehouse.com,,
CHILLAX Brewing Company LLC,planning,Milford,,2483883458,,,
City Built Brewing Company,brewpub,Grand Rapids,820 Monroe Ave NW Ste 155,6168055755,http://www.citybuiltbrewing.com,,
CJs Brewing Co,brewpub,Commerce Township,8115 Richardson Rd,2483667979,http://www.cjsbrewingcompany.com,-83.44295839,42.57743694
Clam Lake Beer Co,brewpub,Cadillac,106 S Mitchell St Ste A,2317756150,http://www.clamlakebeerco.com,,
